,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
100,PSAA RAUDHATUL HIKMAH PUTRI,Lembaga Kesejahteraan Sosial Anak,[''],0,31 Aug 2017,03 Mar 2023,Yayasan Raudhatul Hikmah Putri,"Jl. H. Saikin No.21, Pd. Pinang, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia","Panti yang khusus membina muslimah yatim dan dhuafa dari smp, sma dan kuliah. Panti Raudhatul Hikmah Putri dengan binaannnya yang semakin banyak (190 anak) dan ingin meningkatkan kualitas pendidikan anak binaan, kami mendirikan sekolah untuk anak-anak, yaitu ""SMP SMA Plus Khadijah Islamic School yg mendidik 100 % anak panti Raudhatul Hikmah Putri dan tidak menerima siswa luar"" (Alamat Boarding School Khadijah Islamic : Jln Batan 1 Pasar Jumat Lebak Bulus Jakarta Selatan. 

Jika kakak-kakak sekalian ingin berkunjung, bisa ke panti kami ataupun ke boarding school kami :) ","Beasiswa untuk 190 org, kasur, laptop, lemari pakaian, ",[''],-,[''],190.0,190,0.0,190.0,1,1,panti khusus membina muslimah yatim dhuafa smp sma kuliah panti raudhatul hikmah putri binaannnya 190 anak meningkatkan kualitas pendidikan anak binaan mendirikan sekolah anak anak smp sma plus khadijah islamic school yg mendidik 100 anak panti raudhatul hikmah putri menerima siswa alamat boarding school khadijah islamic jln batan 1 pasar jumat lebak bulus jakarta selatan kakak kakak berkunjung panti boarding school,beasiswa 190 org kasur laptop lemari pakaian,,PSAA RAUDHATUL HIKMAH PUTRI panti khusus membina muslimah yatim dhuafa smp sma kuliah panti raudhatul hikmah putri binaannnya 190 anak meningkatkan kualitas pendidikan anak binaan mendirikan sekolah anak anak smp sma plus khadijah islamic school yg mendidik 100 anak panti raudhatul hikmah putri menerima siswa alamat boarding school khadijah islamic jln batan 1 pasar jumat lebak bulus jakarta selatan kakak kakak berkunjung panti boarding school beasiswa 190 org kasur laptop lemari pakaian  
101,Panti Al-Qomariyah,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Anak Non Mukim']",2,15 Sep 2017,03 Mar 2023,Mas Andika Kaharudin,"Jl. Saturnus Utara 17 No.1, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286","Berdiri sejak tahun 2005, Panti Asuhan Al-Qomariyah berfokus dalam membantu anak-anak yatim piatu 
dhuafa terlantar di wilayah jawa  Barat untuk mendapatkan akses pendidikan, kesehatan yang lebih  baik. 
Selama di Panti asuhan, mereka dibekali dengan pendidikan formal mulai dari SD-SMA/K dan diberikan 
kebebasan  untuk  melanjutkan  pendidikan  ke  perguruan  tinggi. 

Tak hanya berkomitmen untuk anak-anak dalam panti, Al-Qomariyah pun turut membantu Ibu-Ibu yang 
terjerat hutang rentenir untuk bisa terbebas dari hutang dan tidak kembali ke rentenir. Ibu-Ibu tersebut 
diajarkan  untuk  menabung  sederhana  dan  panti  membantu  bantuan  pendidikan  bagi  anaknya.

Sedangkan  bagi  masyaratkan umum,  Al-Qomariyah  memiliki program  kakak  asuh,  dimana  melibatkan 
puluhan mahasiswa yang tersebar di pulau jawa dan sumatera untuk menjadi mentor adik-adik asuh dan 
menemani  perkembangan  diri  mereka  dalam  hal  pendidikan  dan  psikososial.","Seragam sekolah SD, SMP, SMA, alat masak (wajan), sandal, alat kebersihan (rinso, molto, dll)","['Kesehatan', 'Infrastruktur', 'Pendidikan']","Saat ini Panti Al Qomariyah bersama Sahabi telah berkembang menjadi sebuah wadah bagi anak-anak panti asuhan dan crafter lokal untuk menciptakan sejumlah produk yang memiliki nilai jual.

Yuk lihat hasil produk mereka di Instagram @sahabi_","['Minat/Bakat', 'Pembinaan Masyarakat']",5.0,22,12.0,10.0,2,2,berdiri 2005 panti asuhan al qomariyah berfokus membantu anak anak yatim piatu dhuafa terlantar wilayah jawa barat akses pendidikan kesehatan panti asuhan dibekali pendidikan formal sd sma k kebebasan melanjutkan pendidikan perguruan berkomitmen anak anak panti al qomariyah membantu terjerat hutang rentenir terbebas hutang rentenir diajarkan menabung sederhana panti membantu bantuan pendidikan anaknya masyaratkan al qomariyah memiliki program kakak asuh dimana melibatkan puluhan mahasiswa tersebar pulau jawa sumatera mentor adik adik asuh menemani perkembangan pendidikan psikososial,seragam sekolah sd smp sma alat masak wajan sandal alat kebersihan rinso molto dll,panti al qomariyah sahabi berkembang wadah anak anak panti asuhan crafter lokal menciptakan produk memiliki nilai jual yuk lihat hasil produk instagram,Panti Al-Qomariyah berdiri 2005 panti asuhan al qomariyah berfokus membantu anak anak yatim piatu dhuafa terlantar wilayah jawa barat akses pendidikan kesehatan panti asuhan dibekali pendidikan formal sd sma k kebebasan melanjutkan pendidikan perguruan berkomitmen anak anak panti al qomariyah membantu terjerat hutang rentenir terbebas hutang rentenir diajarkan menabung sederhana panti membantu bantuan pendidikan anaknya masyaratkan al qomariyah memiliki program kakak asuh dimana melibatkan puluhan mahasiswa tersebar pulau jawa sumatera mentor adik adik asuh menemani perkembangan pendidikan psikososial seragam sekolah sd smp sma alat masak wajan sandal alat kebersihan rinso molto dll panti al qomariyah sahabi berkembang wadah anak anak panti asuhan crafter lokal menciptakan produk memiliki nilai jual yuk lihat hasil produk instagram Kesehatan Infrastruktur Pendidikan
104,Panti Asuhan Nur Rahmah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],8,19 Oct 2017,03 Mar 2023,FIRDAMAIANTI,"Jl. Air Nangka I No.49, Keramat, Rangkui, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia","Panti Asuhan Nur Rahmah merupakan panti yang mengasuh anak Yatim Piatu dan Kurang Mampu.
Saat ini Panti Asuhan Nur Rahmah telah berkerja sama dengan Kementrian Sosial untuk memberdayakan sejumlah warga binaan usia produktif yang mengalami hambatan dalam indra penglihatannya. ","biaya operasional , kasur, lemari pakaian","['Kesehatan', 'Infrastruktur']","Program Panti :

Usaha Ekonomi Produktif = Program pelatihan pernak pernik ucapan terima kasih seperti bros untuk hijab, tempat tisu, tatakan gelas.  
Usaha Kesejahteraan Sosial = Memberikan paket sembako baik ke lansia dan disabilitas serta bakti sosi","['Keterampilan', 'Pembinaan Masyarakat']",30.0,30,15.0,15.0,2,2,panti asuhan nur rahmah panti mengasuh anak yatim piatu panti asuhan nur rahmah berkerja kementrian sosial memberdayakan warga binaan usia produktif mengalami hambatan indra penglihatannya,biaya operasional kasur lemari pakaian,program panti usaha ekonomi produktif program pelatihan pernak pernik ucapan terima kasih bros hijab tisu tatakan gelas usaha kesejahteraan sosial paket sembako lansia disabilitas bakti sosi,Panti Asuhan Nur Rahmah panti asuhan nur rahmah panti mengasuh anak yatim piatu panti asuhan nur rahmah berkerja kementrian sosial memberdayakan warga binaan usia produktif mengalami hambatan indra penglihatannya biaya operasional kasur lemari pakaian program panti usaha ekonomi produktif program pelatihan pernak pernik ucapan terima kasih bros hijab tisu tatakan gelas usaha kesejahteraan sosial paket sembako lansia disabilitas bakti sosi Kesehatan Infrastruktur
111,Panti Maunah Palembang,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],14,22 Nov 2017,03 Mar 2023,Cici Jayanti. S.Sos,Jalan Tanjung Sari Lr.Anggrek Rt.35 Rw.07 Kel. Bukit Sangkal Kec. Kalidoni Palembang,Panti asuhan anak yatim piatu,"sembako, biaya sekolah, dan, pakaian layak",['Kesehatan'],"Program Jangka Pendek
1. Pengadaan Biaya Pendidikan Anak Asuh
2. Pengadaan Biaya Kebutuhan makanan  Anak Asuh
3. Pengadaan Sarana dan Prasarana Panti

Program Jangka Panjang
1. Usaha peningkatan mutu pendidikan formal & Informal ","['Pendidikan', 'Keagamaan']",15.0,15,7.0,8.0,2,2,panti asuhan anak yatim piatu,sembako biaya sekolah pakaian layak,program jangka pendek 1 pengadaan biaya pendidikan anak asuh 2 pengadaan biaya kebutuhan makanan anak asuh 3 pengadaan sarana prasarana panti program jangka 1 usaha peningkatan mutu pendidikan formal informal,Panti Maunah Palembang panti asuhan anak yatim piatu sembako biaya sekolah pakaian layak program jangka pendek 1 pengadaan biaya pendidikan anak asuh 2 pengadaan biaya kebutuhan makanan anak asuh 3 pengadaan sarana prasarana panti program jangka 1 usaha peningkatan mutu pendidikan formal informal Kesehatan
115,YAYASAN PAZKI,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Jan 2018,03 Mar 2023,Haqi Sidqi Amrullah,"Jalan Beringin, Kemiri Muka, Beji, Kota Depok, Jawa Barat 16423, Indonesia",yayasan anak jalanan ,sembako,[''],,[''],30.0,30,24.0,6.0,1,1,yayasan anak jalanan,sembako,,YAYASAN PAZKI yayasan anak jalanan sembako  
117,Majelis Yatim Shaleh Idris Center Muhammadiyah Banten,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Anak Non Mukim']",0,11 Feb 2018,03 Mar 2023,Muhammadiyah,"Jl. Bumi Agung Permai 2, Kaligandu, Kec. Serang, Kota Serang, Banten 42111, Indonesia",Pengasuhan dan Pendidikan,Masjid dan Ruang Kelas,['Infrastruktur'],Pembangunan Masjid. Sarana ibadah ini merupakan kebutuhan mendesak untuk anak2 sebagai pusat pembinaan spiritual serta sarana bagai mereka dalam pengaktualisasian diri.,['Keagamaan'],20.0,20,20.0,0.0,1,1,pengasuhan pendidikan,masjid ruang kelas,pembangunan masjid sarana ibadah kebutuhan mendesak anak2 pusat pembinaan spiritual sarana pengaktualisasian,Majelis Yatim Shaleh Idris Center Muhammadiyah Banten pengasuhan pendidikan masjid ruang kelas pembangunan masjid sarana ibadah kebutuhan mendesak anak2 pusat pembinaan spiritual sarana pengaktualisasian Infrastruktur
118,Panti Asuhan Yatim Dan Tunnet Muhammadiyah Purworejo ,Lembaga Kesejahteraan Sosial Anak,[''],0,11 Feb 2018,03 Mar 2023,Pimpinan Cabang Purworejo ,"Jl. Urip Sumoharjo No.76, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54151, Indonesia","Panti Asuhan Yatim dan Tunnet Muhammadiyah Purworejo berdiri tanggal 1 Agustus 1950 M. Pada awalnya anak yang diasuh sebanyak 20 anak muslimin. Pada tahun 1953 berubah nama menjadi Panti Asuhan Yatim Muhammadiyah Purworejo dan lokasinya berada di Plaosan V / 382 B,  RT. 01 / RW.  14, Kelurahan Purworejo, Kecamatan Purworejo, Kab. Purworejo, Jawa Tengah. 

Panti asuhan ini juga memberikan pelayanan berdasarkan pekerjaan sosial kepada anak terlantar dengan cara membantu, membimbing kearah perkembangan yang lebih baik sehingga berkepribadian yang baik serta memiliki ketrampilan kerja yang memadai. Harapannya kedepannya dapat kembali ke masyarakat dan dapat menjadi anggota masyarakat yang berkehidupan layak dan tanggung jawab, baik terhadap dirinya, keluarga, serta masyarakat sekitarnya. 

Untuk mencapai tujuan tersebut, maka panti asuhan Yatim Muhammadiyah Purworejo memberikan bekal meliputi :
1. Bekal Fisik
2. Bekal Mental
3. Bekal Sosial","Fasilitas Tempat Tidur, Sarana Belajar, Kebutuhan Sehari-hari, Biaya Pendidikan ",[''],,[''],110.0,110,55.0,55.0,1,1,panti asuhan yatim tunnet muhammadiyah purworejo berdiri tanggal 1 agustus 1950 m anak diasuh 20 anak muslimin 1953 berubah nama panti asuhan yatim muhammadiyah purworejo lokasinya plaosan v 382 b rt 01 rw 14 kelurahan purworejo kecamatan purworejo kab purworejo jawa panti asuhan pelayanan berdasarkan pekerjaan sosial anak terlantar membantu membimbing kearah perkembangan berkepribadian memiliki ketrampilan kerja memadai harapannya kedepannya masyarakat anggota masyarakat berkehidupan layak tanggung keluarga masyarakat mencapai tujuan panti asuhan yatim muhammadiyah purworejo bekal meliputi 1 bekal fisik 2 bekal mental 3 bekal sosial,fasilitas tidur sarana belajar kebutuhan sehari biaya pendidikan,,Panti Asuhan Yatim Dan Tunnet Muhammadiyah Purworejo  panti asuhan yatim tunnet muhammadiyah purworejo berdiri tanggal 1 agustus 1950 m anak diasuh 20 anak muslimin 1953 berubah nama panti asuhan yatim muhammadiyah purworejo lokasinya plaosan v 382 b rt 01 rw 14 kelurahan purworejo kecamatan purworejo kab purworejo jawa panti asuhan pelayanan berdasarkan pekerjaan sosial anak terlantar membantu membimbing kearah perkembangan berkepribadian memiliki ketrampilan kerja memadai harapannya kedepannya masyarakat anggota masyarakat berkehidupan layak tanggung keluarga masyarakat mencapai tujuan panti asuhan yatim muhammadiyah purworejo bekal meliputi 1 bekal fisik 2 bekal mental 3 bekal sosial fasilitas tidur sarana belajar kebutuhan sehari biaya pendidikan  
119,Panti Asuhan Yatim Muhammad Danukusumo Purworejo ,Lembaga Kesejahteraan Sosial Anak,[''],0,11 Feb 2018,03 Mar 2023,Pimpinan Cabang ,"Jalan Timbangan, Kliwonan, Banyu Urip, Kabupaten Purworejo, Jawa Tengah 54171, Indonesia","LKSA Danukusumo berdiri pada tanggal 15 Juli 2000, diatas tanah waqaf dari Bapak H. Drs. Soeparto Danukusumo seluas 2500 meter persegi. Dana awal pembangunan asrama berasal dari iuran pengurus panti, PCM dan PCA Banyuurip, kemudian dilanjutkan pembangunan Masjid Husnul Khotimah yang dananya berasal dari waqaf Bapak H. Drs. Soeparto Danukusumo. Pada tahun 2002 dibangun Gedung Serba Guna menggunakan wakaf dana dari Bapak Drs. H. M Shodri. 

Di panti inj dilaksanakan berbagai sistem pelayanan dengan pembinaan anak asuh dalam panti,  yang dilakukan oleh:
1. Tim Bintal
Meliputi pengajian rutin harian,  pengajian mingguan, pengajian bulanan, perlibatan anak asuh dalam aktivitas kemasyarakatan. 
2. Tim Binjakes
Meliputi olahraga umum, bela diri pencak silat tapak suci, kepanduan hisbul wathon. 
3. Tim Pendidikan Formal
Meliputi sekolah formal, bimbingan belajar. 
4. Tim Pelatihan Ketrampilan dan Kewirausahaan
Meliputi komputer design grafis, sablon, potong rambut, pemagangan ke perusahan mitra, wirausaha gabah, wirausaha penggilingan padi, wirausahan peternakan, dan pertanian. ","Alat MCK, Alat Tulis/Sekolah, Baju, Selimut, Sembako penunjang gizi,  Meja Belajar, Lemari Pakaian,  Alat Makan, Penambahan Ruang Asrama",[''],,[''],38.0,38,26.0,12.0,1,1,lksa danukusumo berdiri tanggal 15 juli 2000 diatas tanah waqaf h drs soeparto danukusumo seluas 2500 meter persegi dana pembangunan asrama berasal iuran pengurus panti pcm pca banyuurip dilanjutkan pembangunan masjid husnul khotimah dananya berasal waqaf h drs soeparto danukusumo 2002 dibangun gedung serba wakaf dana drs h m shodri panti inj dilaksanakan sistem pelayanan pembinaan anak asuh panti 1 tim bintal meliputi pengajian rutin harian pengajian mingguan pengajian bulanan perlibatan anak asuh aktivitas kemasyarakatan 2 tim binjakes meliputi olahraga bela pencak silat tapak suci kepanduan hisbul wathon 3 tim pendidikan formal meliputi sekolah formal bimbingan belajar 4 tim pelatihan ketrampilan kewirausahaan meliputi komputer design grafis sablon potong rambut pemagangan perusahan mitra wirausaha gabah wirausaha penggilingan padi wirausahan peternakan pertanian,alat mck alat tulis sekolah baju selimut sembako penunjang gizi meja belajar lemari pakaian alat makan penambahan ruang asrama,,Panti Asuhan Yatim Muhammad Danukusumo Purworejo  lksa danukusumo berdiri tanggal 15 juli 2000 diatas tanah waqaf h drs soeparto danukusumo seluas 2500 meter persegi dana pembangunan asrama berasal iuran pengurus panti pcm pca banyuurip dilanjutkan pembangunan masjid husnul khotimah dananya berasal waqaf h drs soeparto danukusumo 2002 dibangun gedung serba wakaf dana drs h m shodri panti inj dilaksanakan sistem pelayanan pembinaan anak asuh panti 1 tim bintal meliputi pengajian rutin harian pengajian mingguan pengajian bulanan perlibatan anak asuh aktivitas kemasyarakatan 2 tim binjakes meliputi olahraga bela pencak silat tapak suci kepanduan hisbul wathon 3 tim pendidikan formal meliputi sekolah formal bimbingan belajar 4 tim pelatihan ketrampilan kewirausahaan meliputi komputer design grafis sablon potong rambut pemagangan perusahan mitra wirausaha gabah wirausaha penggilingan padi wirausahan peternakan pertanian alat mck alat tulis sekolah baju selimut sembako penunjang gizi meja belajar lemari pakaian alat makan penambahan ruang asrama  
120,Yayasan Bangun Kecerdasan Bangsa,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,02 Mar 2023,Putra Aditya,"No., Jl. Raya Tengah No.22, RT.8/RW.8, Gedong, Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760, Indonesia","Yayasan Bangun Kecerdasan Bangsa didirikan pada tanggal 16 Juli 2007 dengan sebuah misi untuk bisa membina masyarakat khususnya anak muda untuk bisa mandiri dan memiliki wawasan bertanggung jawab terhadap keluarga, lingkungan, agama, bangsa dan negara. Kegiatan YBKB diawali dengan kegiatan-kegiatan dibidang sosial seperti cepat tanggap bencana, santunan anak yatim-piatu, dan donor darah. Yayasan ini memiliki relawan dari berb",,['Infrastruktur'],,['Pendidikan'],19.0,0,0.0,0.0,1,1,yayasan bangun kecerdasan bangsa didirikan tanggal 16 juli 2007 misi membina masyarakat anak muda mandiri memiliki wawasan bertanggung keluarga lingkungan agama bangsa negara kegiatan ybkb diawali kegiatan kegiatan dibidang sosial cepat tanggap bencana santunan anak yatim piatu donor darah yayasan memiliki relawan berb,,,Yayasan Bangun Kecerdasan Bangsa yayasan bangun kecerdasan bangsa didirikan tanggal 16 juli 2007 misi membina masyarakat anak muda mandiri memiliki wawasan bertanggung keluarga lingkungan agama bangsa negara kegiatan ybkb diawali kegiatan kegiatan dibidang sosial cepat tanggap bencana santunan anak yatim piatu donor darah yayasan memiliki relawan berb   Infrastruktur
122,Panti Muhammadiyah Tanah Abang 1,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],1,01 Jan 1970,03 Mar 2023,Majelis Pimpinan Cabang Muhammadiyah Tanah Abang 1,"Jl. K.H. Mas Mansyur, RT.5/RW.9, Kb. Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230","Panti Asuhan ini merupakan panti asuhan binaan Pengurus Cabang Muhammadiyah Tanah Abang. Panti Asuhan yang telah berdiri di akhir tahun 50-an ini menaungi anak-anak yatim dan dhuafa baik di sekitar daerah Tanah Abang maupun dari daerah lain.. Awalnya, panti ini berlokasi di daerah Kebon Kacang hingga tahun 1984 mendapat bantuan dari pemerintah sehingga mendirikan bangunan di daerah KH Mas Mansyur dan juga membuka cabang di daerah Sawangan, Depok. HIngga hari ini, panti asuhan ini terus berkomitmen membina anak-abak yatim/dhuafa.","- Makan sehari-hari
- SPP sekolah
- Uang saku
- Biaya operasional kegiatan","['Makanan', 'Pendidikan']","- Pengajian rutin setiap hari
- Muhadhoroh
- Taujih bada subuh","['Pendidikan', 'Keagamaan']",15.0,31,17.0,14.0,2,2,panti asuhan panti asuhan binaan pengurus cabang muhammadiyah tanah abang panti asuhan berdiri 50 an menaungi anak anak yatim dhuafa daerah tanah abang daerah panti berlokasi daerah kebon kacang 1984 bantuan pemerintah mendirikan bangunan daerah kh mas mansyur membuka cabang daerah sawangan depok panti asuhan berkomitmen membina anak abak yatim dhuafa,makan sehari spp sekolah uang saku biaya operasional kegiatan,pengajian rutin muhadhoroh taujih bada subuh,Panti Muhammadiyah Tanah Abang 1 panti asuhan panti asuhan binaan pengurus cabang muhammadiyah tanah abang panti asuhan berdiri 50 an menaungi anak anak yatim dhuafa daerah tanah abang daerah panti berlokasi daerah kebon kacang 1984 bantuan pemerintah mendirikan bangunan daerah kh mas mansyur membuka cabang daerah sawangan depok panti asuhan berkomitmen membina anak abak yatim dhuafa makan sehari spp sekolah uang saku biaya operasional kegiatan pengajian rutin muhadhoroh taujih bada subuh Makanan Pendidikan
123,Yayasan Yatim Piatu Hidayatussholihin,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,28 Feb 2018,03 Mar 2023,Ustad Komarudin,"Jl. Raya Kemiri, Kelebet, Kemiri, Tangerang, Banten 15530, Indonesia",Panti asuhan ini didirikan oleh Ust. M. Solihin (Alm) sejak tahun 1986.,"Sembako, dana pendidikan dan dana pembangunan panti","['Makanan', 'Fasilitas', 'Infrastruktur', 'Pendidikan']","Pengajian rutin bagi anak asuh

Santunan untuk anak yatim piatu dan dhuafa di sekitar panti","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",11.0,30,8.0,22.0,3,3,panti asuhan didirikan ust m solihin alm 1986,sembako dana pendidikan dana pembangunan panti,pengajian rutin anak asuh santunan anak yatim piatu dhuafa panti,Yayasan Yatim Piatu Hidayatussholihin panti asuhan didirikan ust m solihin alm 1986 sembako dana pendidikan dana pembangunan panti pengajian rutin anak asuh santunan anak yatim piatu dhuafa panti Makanan Fasilitas Infrastruktur Pendidikan
124,Majelis Yatim Shaleh Idris Center Muhammadiyah Banten,Lembaga Kesejahteraan Sosial Anak,[''],0,02 Mar 2018,03 Mar 2023,Muhammadiyah Banten,"Jl. Bumi Agung Permai 2, Kaligandu, Kec. Serang, Kota Serang, Banten 42111, Indonesia",Panti Asuhan Yatim dan Dhuafa,,[''],,[''],11.0,11,11.0,0.0,1,1,panti asuhan yatim dhuafa,,,Majelis Yatim Shaleh Idris Center Muhammadiyah Banten panti asuhan yatim dhuafa   
